,cell_number,concave_regularity,brittleness,sample
AK090T_28,5.17614973257383,0.545018433931512,0.905795859027527,AK090T
AK090T_29,5.02388052084628,0.141530934911392,0.827822272581468,AK090T
AK090T_30,4.80402104473326,0.415670214022801,0.801668287741396,AK090T
AK090T_31,4.969813299576,0.31937402256632,0.813390108833827,AK090T
AK090T_32,4.96284463025991,0.367254459620682,0.834298244619073,AK090T
AK090T_33,5.09375020080676,0.491458175857114,0.82827510798458,AK090T
AK090T_34,4.9416424226093,0.47959551447667,0.866457799841619,AK090T
AK090T_35,5.01727983681492,0.466057069521047,0.831678442867524,AK090T
AK090T_36,4.99043258677874,0.396089338351171,0.904882051870916,AK090T
AK090T_37,4.72738781871234,0.175843775744211,0.584755473319054,AK090T
AK090T_38,4.04305126783455,0.0748806629681757,0.605717098465753,AK090T
AK090T_39,4.79579054559674,0.420427887247879,0.801617841066956,AK090T
AK090T_40,5.00394630594546,0.166053175093012,0.883767860669785,AK090T
AK090T_41,4.64439089914137,0.440549533049228,0.822442456916793,AK090T
AK090T_42,4.75359019110636,0.448699610493595,0.858478807622284,AK090T
AK090T_43,4.7361984483945,0.117792916734042,0.743022371811135,AK090T
AK090T_44,4.80402104473326,0.585532420450352,0.910245692529605,AK090T
AK090T_45,4.40671924726425,0.0485014545933393,0.667111854207569,AK090T
AK090T_46,4.77912349311153,0.378925123676604,0.804031417375717,AK090T
AK090T_47,4.53259949315326,0.168352582885212,0.802190002570543,AK090T
AK090T_48,4.52178857704904,0.0224072266356355,0.678801457004597,AK090T
AK090T_49,4.68213122712422,0.527422138214223,0.924208044058057,AK090T
AK090T_50,4.43081679884331,0.458445516105685,0.876305222795365,AK090T
AK090T_51,4.53259949315326,0.234876169793439,0.841445330371321,AK090T
AK090T_52,4.43081679884331,0.299913034708802,0.801233241974229,AK090T
AK090T_53,4.39444915467244,0.508579664714081,0.90669208888808,AK090T
AK090T_54,4.48863636973214,0.399840469559544,0.851702997504654,AK090T
AK090T_55,4.27666611901606,0.278280184170371,0.805348646448095,AK090T
AK090T_56,4.51085950651685,0.211978451062286,0.722111598696156,AK090T
AK090T_57,4.36944785246702,0.338592741292734,0.821179702210318,AK090T
AK090T_58,4.43081679884331,0.441053359310468,0.892176085369695,AK090T
