,geo_adj_score,cell_type
1,1.865710963967,Stellate
2,1.69955036538871,Stellate
3,1.61135513869478,Acinar
4,1.56102653497054,Acinar
5,1.35975988212597,Acinar
6,1.50082191541475,Ductal
7,1.30422735005362,Acinar
8,1.37744597287777,Alpha
9,1.63216037044214,Alpha
10,1.69390310806547,Alpha
11,1.67261910172189,Alpha
12,1.340260808573,Stellate
13,1.60272923035183,Alpha
14,1.52879612720426,Ductal
15,1.47402398579749,Alpha
16,1.78899965331183,Stellate
17,1.36213627244137,Alpha
18,1.69389493969772,Ductal
19,1.29749565920802,Ductal
20,1.52732583715041,Alpha
21,1.41382577107845,Alpha
22,1.46864289474808,Alpha
23,1.4888795080269,Alpha
24,1.25892501845694,Ductal
25,1.61251601510496,Beta
26,1.42671021213786,Alpha
27,1.69225116390819,Alpha
28,1.54868879275622,Beta
29,1.32628324284932,Alpha
30,1.23644876476985,Stellate
31,1.29338681112366,Alpha
32,1.27990280855896,Alpha
33,1.63875740595227,Ductal
34,1.74694132109482,Alpha
35,1.22370912865205,Alpha
36,1.34020019039974,Alpha
37,1.89239288845933,Acinar
38,1.39660794903284,Alpha
39,1.43448911879175,Alpha
40,1.23698465199527,Alpha
41,1.15605775803246,Alpha
42,1.18177276668901,Alpha
43,1.25440062146017,Alpha
44,1.57196289219686,Ductal
45,1.68158451623165,Alpha
46,1.90384123802164,Ductal
47,1.45338868273134,Alpha
48,1.50558659459854,Alpha
49,1.09390664446342,Alpha
50,1.34349609520108,Ductal
51,1.29247915106154,Stellate
52,1.144087794324,Alpha
53,1.40901739520609,Alpha
54,1.04030601516142,Alpha
55,1.03820433862721,Alpha
56,1.88124687033244,Ductal
57,1.83367129606935,Acinar
58,1.57669556479067,Alpha
59,1.18016130766664,Alpha
60,1.75360682656923,Ductal
61,1.66293520531099,Alpha
62,1.01315340679842,Alpha
63,1.30475133144036,Alpha
64,0.993416322254371,Alpha
65,1.33915635334719,Alpha
66,1.12115888289585,Alpha
67,0.97506541637305,Acinar
68,1.90081338524554,Ductal
69,1.7805232297049,Alpha
70,0.974102237911384,Alpha
71,1.02604785136924,Alpha
72,1.57628547691973,Alpha
73,0.967054466170255,Alpha
74,0.946741271699392,Ductal
75,0.993755532949075,Alpha
76,1.92807249334945,Ductal
77,1.52544885970683,Alpha
78,1.63481656366493,Beta
79,0.954420340795397,Alpha
80,0.897032718504044,Alpha
81,1.26879049493145,Alpha
82,0.915110930681212,Alpha
83,0.922758927343426,Acinar
84,0.920555759440014,Beta
85,0.877151041735658,Stellate
86,1.87138296046176,Acinar
87,1.0249702920518,Alpha
88,1.12378664945291,Alpha
89,1.00509560785139,Alpha
90,1.14817065365602,Alpha
91,1.05965846176101,Alpha
92,1.55990540218735,Beta
93,1.94376761228626,Ductal
94,0.875903851201482,Acinar
95,0.875672314388686,Acinar
96,0.95817952912525,Alpha
97,1.7690552276803,Alpha
98,0.898129008792839,Alpha
99,0.967246118860624,Alpha
100,1.58019473149514,Ductal
101,0.857182951157421,Alpha
102,0.858061790029143,Beta
103,0.83033077111622,Alpha
104,1.4545710160292,Alpha
105,0.888092142242741,Ductal
106,1.79196223065265,Alpha
107,1.71279005656786,Alpha
108,1.08354404217856,Alpha
109,1.6795414781866,Ductal
110,0.975872596456315,Ductal
111,0.910046652840391,Alpha
112,1.54469395408887,Alpha
113,0.981616932506915,Alpha
114,0.805035893639978,Alpha
115,1.90090674983079,Ductal
116,0.884592376835342,Alpha
117,0.779754190673241,Alpha
118,0.778301894661631,Alpha
119,0.919234793883563,Alpha
120,1.92815390199084,Ductal
121,1.3279108455985,Beta
122,1.47545069722226,Beta
123,0.804757885150602,Stellate
124,1.75896182469879,Alpha
125,1.51056996423263,Beta
126,0.82212637724469,Alpha
127,0.710508715856069,Alpha
128,0.776072509123179,Stellate
129,0.741627931960463,Ductal
130,0.754296235807854,Stellate
131,1.66908095458196,Alpha
132,1.53361371630839,Alpha
133,1.86364654755286,Ductal
134,0.934033141284004,Alpha
135,1.33334525123008,Alpha
136,0.714366805774846,Stellate
137,0.775054202641191,Acinar
138,1.76715516746327,Alpha
139,1.27797787601201,Alpha
140,1.90674210864244,Acinar
141,0.941049986537822,Acinar
142,1.45426183880577,Alpha
143,1.39405940100175,Alpha
144,1.57862413830869,Alpha
145,0.674464544368511,Alpha
146,1.82160466780003,Ductal
147,0.887456481395855,Acinar
148,0.80911384149185,Stellate
149,0.697573423667917,Alpha
150,0.673807455941625,Alpha
151,0.711486049162392,Stellate
152,1.12518726746439,Alpha
153,1.07996207878632,Alpha
154,0.840766044051126,Alpha
155,1.67377186583917,Alpha
156,0.660194180780962,Alpha
157,1.55548468499566,Stellate
158,1.05195795316716,Alpha
159,1.20673515687462,Alpha
160,0.812901878881593,Acinar
161,1.31457485806869,Alpha
162,0.910990085876605,Alpha
163,0.864317856587848,Alpha
164,0.662413607735286,Alpha
165,0.915590450393539,Ductal
166,1.8993127346958,Stellate
167,0.69777274292242,Stellate
168,1.15046414819051,Alpha
169,1.73184173757019,Ductal
170,1.7979539219146,Stellate
171,0.734114101690993,Stellate
172,0.63237100373457,Alpha
173,0.689673049191205,Ductal
174,0.82495611005946,Acinar
175,0.858899972137706,Acinar
176,1.68917182379075,Alpha
177,1.64277102549769,Alpha
178,0.614502568138678,Beta
179,0.577617096573286,Alpha
180,0.947474660874375,Ductal
181,0.617326271492366,Alpha
182,0.607665372311252,Stellate
183,0.648898689371793,Stellate
184,1.5763171060783,Alpha
185,0.939861147048513,Ductal
186,0.634692576773405,Ductal
187,0.899324086649489,Ductal
188,0.985750665627433,Ductal
189,0.958336462782239,Stellate
190,0.904469643415909,Stellate
191,1.40515821501365,Alpha
192,1.03347754901583,Stellate
193,0.638566093119591,Ductal
194,0.570444068006192,Alpha
195,1.71688464683926,Stellate
196,1.65150690953473,Alpha
197,1.2549790389124,Beta
198,1.18040397229854,Beta
199,1.75761324309284,Ductal
200,0.800893927393918,Ductal
201,0.537019001740529,Stellate
202,1.0028544796699,Ductal
203,0.586457319827509,Alpha
204,1.58029007754092,Alpha
205,0.509870913385936,Alpha
206,0.726463958942226,Stellate
207,0.884089319980788,Stellate
208,1.45292636869682,Ductal
209,1.78435027775142,Stellate
210,1.02925446513412,Alpha
211,0.620427617875897,Alpha
212,0.986102805732666,Alpha
213,0.933355614253789,Ductal
214,0.655414580087727,Alpha
215,0.911770844781965,Ductal
216,1.52939407641784,Alpha
217,1.83106182909165,Stellate
218,0.585441621027625,Alpha
219,0.985053456766502,Acinar
220,1.40834867071115,Alpha
221,0.7486781759494,Alpha
222,0.608066526258484,Alpha
223,1.46342898647245,Alpha
224,1.1785254856971,Ductal
225,0.672227017336101,Alpha
226,1.64192167718295,Alpha
227,0.50712578752006,Alpha
228,1.3456822968667,Beta
229,1.27745060855085,Beta
