"UMAP_1","UMAP_2","CellType"
3.97378797228895,-5.34434976575349,"Alpha"
2.76988262827955,-4.29454793927644,"Alpha"
-0.114759540599958,15.1162363052609,"PSC_Quiescent"
-4.12292557064928,14.4102054596188,"PSC_Activated"
-10.1582797080699,8.03230247499969,"Endothelial"
4.66205854113661,-3.69666757581208,"Alpha"
3.00960893328749,-5.28264513013337,"Alpha"
5.46932811434828,-4.99684753415559,"Alpha"
0.552265533762797,14.3768135071042,"PSC_Quiescent"
2.51029987032972,1.62014398577239,"Delta"
1.66370267565809,3.97607836725738,"Beta"
4.06562585528456,-4.34182205197785,"Alpha"
3.15921373065077,2.75107536318328,"Beta"
-10.2635062247936,6.76671943666961,"Endothelial"
-4.80280189816393,14.45986900332,"PSC_Activated"
4.4195129364308,-4.060394668555,"Alpha"
3.19385904963575,3.46803221704986,"Beta"
-4.50680332486071,13.2041412353757,"PSC_Activated"
5.91169995959364,-4.82120552060578,"Alpha"
1.96006698306166,-4.09079113004182,"Alpha"
3.66627092059217,-3.860527896857,"Alpha"
0.695642659026011,14.9155345916989,"PSC_Quiescent"
4.74788636859022,-3.03013291356538,"Alpha"
2.7835139721211,-3.48168268201325,"Alpha"
3.40475434954725,-3.5362829208133,"Alpha"
1.73266310389601,-6.39214935300324,"Alpha"
5.65211553271376,-3.69970645902131,"Alpha"
5.76927823718153,3.12253675463225,"Beta"
2.00055689509474,1.11472246649291,"Delta"
-10.3262665778819,7.55424318316009,"Endothelial"
-1.3110254317943,4.65093812944915,"Beta"
4.61726875002943,-3.39003052709077,"Alpha"
4.2883455246266,-4.68031587598298,"Alpha"
2.15475530322157,3.20520100595977,"Beta"
3.11666173632704,2.10014925005462,"Beta"
5.87447757418714,-4.45911159512971,"Alpha"
1.88772339518629,-4.59183540341828,"Alpha"
3.95638293917738,-3.82297172543977,"Alpha"
5.45161313708387,4.43737802507903,"Beta"
4.76809615786634,-3.77444925305818,"Alpha"
-0.0542338997546591,3.4657226562741,"Beta"
-5.00084667508043,14.2142930984738,"PSC_Activated"
3.89610881503187,-3.95053043363068,"Alpha"
3.1672768085774,-4.6416148185489,"Alpha"
1.93960280116163,-3.07816948888276,"Alpha"
3.76655740435682,-2.47839727399323,"Alpha"
2.48382444079481,-2.84362282750581,"Alpha"
6.94450111086927,-4.19360103604768,"Alpha"
3.07604188616834,1.65690670015838,"Beta"
2.72357983286939,-4.63085308072541,"Alpha"
3.39808602030836,1.77721235754516,"Delta"
2.94496268923841,-3.02891340253327,"Alpha"
3.55840844805799,-4.08395757672761,"Alpha"
3.58987230952345,-4.74368181226228,"Alpha"
6.78411693270765,-5.16301431653474,"Alpha"
-4.97241335217394,13.5200649261716,"PSC_Activated"
3.55221743281446,-3.64355506894563,"Alpha"
2.95242304499708,-4.3227991103885,"Alpha"
0.89997274573408,3.96128330233123,"Beta"
1.43337721522413,4.01914319994475,"Beta"
2.90633172686659,-3.54924716947053,"Alpha"
-15.1948683768932,-2.04184713361237,"Duct"
3.03151459391676,-5.14410343167756,"Alpha"
3.33652395899855,-4.76099004743073,"Alpha"
4.43511075671278,-4.19874181745026,"Alpha"
3.74420780833326,4.01135573389556,"Beta"
3.82244319613539,-3.29509272572968,"Alpha"
2.05216545756422,1.2419734955075,"Delta"
6.78821582491957,-5.74735012052033,"Alpha"
-4.33641653363146,13.0562053680661,"PSC_Activated"
2.24875325854383,1.97771821024444,"Beta"
3.211578080016,-3.78705682752107,"Alpha"
4.01301355059706,-3.2020019531009,"Alpha"
2.26979465182386,-5.03015842435334,"Alpha"
3.9565298050221,-3.33264746663545,"Alpha"
-0.52359788720049,4.71075830462005,"Beta"
5.72105378802381,-3.58050479886506,"Alpha"
4.05912465746961,3.32065424921538,"Beta"
3.49845285113417,-3.96284666058991,"Alpha"
2.59857530291639,-4.31491365430329,"Alpha"
4.10156984026991,-4.24839916226838,"Alpha"
3.66021365817152,-3.6392201423404,"Alpha"
1.85250062640272,4.62444267275359,"Beta"
-2.45507507626452,14.1261898041012,"PSC_Quiescent"
5.86140556033216,-3.79574384686921,"Alpha"
-0.692043831986562,5.5990086555722,"Beta"
2.55979079897962,-5.0612753867862,"Alpha"
5.19556016619764,-3.1822949886081,"Alpha"
