"UMAP_1","UMAP_2","CellType"
-1.83002376971339,-7.54900436265513,"Beta"
2.07287776055242,-7.23808078630015,"Beta"
-13.2428981107244,-1.69947390420481,"Activated_PSC"
6.09044491829778,2.68873067038015,"Alpha"
-0.309818599797236,-8.11466388566538,"Beta"
0.40767669262792,3.88442845480398,"Alpha"
2.33113634171392,-9.10507755143686,"Beta"
6.94278943123723,3.5916363729711,"Alpha"
-1.21848690924739,-0.872815774512731,"Delta"
-2.28881919798945,-7.431382464004,"Beta"
5.12169205727483,4.71884651319937,"Alpha"
6.63635575356389,0.842895342278041,"Alpha"
-1.18696910557841,-1.20789031846567,"Delta"
5.20546042504217,4.65909023420767,"Alpha"
5.85768353524114,0.492471827435054,"Alpha"
4.29053103508855,3.83175273077444,"Alpha"
-10.2753087323675,-3.0783198343043,"Activated_PSC"
-7.44312394080256,9.79863948957876,"Duct"
5.77381121697332,3.4773191942449,"Alpha"
1.94755351128484,-5.25953464372202,"Beta"
-11.0579348844061,1.35446519987539,"Activated_PSC"
5.04019248070623,-0.709749983382665,"Alpha"
8.55710208001043,3.09577126638845,"Alpha"
-0.520067517138468,-0.755547689032994,"Delta"
-5.71182501731013,11.3215295805211,"Duct"
2.26399623932744,-8.09049777848765,"Beta"
0.244687791489614,-7.19824628694101,"Beta"
4.51398455681707,5.58291883604483,"Alpha"
2.33309924187566,-7.29501800401255,"Beta"
6.63461434426214,3.07170434133963,"Alpha"
4.20782172264959,4.41451854841665,"Alpha"
-1.10768559990023,2.25138135092214,"PP"
1.06307947220708,-7.60998229844614,"Beta"
-1.57505739150141,-1.06749861104532,"Delta"
5.69400727333928,0.408987622017719,"Alpha"
-1.05268368539904,1.04476024048284,"PP"
5.4251569468012,-0.967077539992772,"Beta"
0.377168412827504,-7.79294853074595,"Beta"
2.05842482628728,-8.34149436814829,"Beta"
-10.6896325391302,-1.90506653649851,"Quiescent_PSC"
2.2299436289301,-7.38246183259531,"Beta"
-1.09189579305743,-2.07687954766794,"Delta"
2.46977889122869,-8.37514953477427,"Beta"
4.51141202034856,1.42966432707266,"Alpha"
-11.5797826093206,-3.59061245782419,"Activated_PSC"
-9.70409119544123,-11.8056381212,"Endothelial"
-10.4412165921697,-2.29108385903879,"Activated_PSC"
4.88457762780095,2.94098634855703,"Alpha"
5.62662493767644,5.50608701841787,"Alpha"
8.36899458947088,4.3715526594396,"Alpha"
6.36346661629583,2.70182366507009,"Alpha"
3.46815430703069,-6.47943382127329,"Beta"
-2.36948144850825,-6.92883663041636,"Beta"
-11.6451569837103,-3.57547311646982,"Activated_PSC"
5.75329768242742,3.07363600866751,"Alpha"
-2.11414552149867,-7.16669826371714,"Beta"
8.0089873033991,5.39366741316275,"Alpha"
-9.68204605994319,-1.70952896935984,"Activated_PSC"
-12.044154290534,-3.62581615312143,"Activated_PSC"
8.54716002526189,3.33069415228323,"Alpha"
-10.6630841535101,2.06138141291098,"Activated_PSC"
6.50316369118596,1.64443333284811,"Alpha"
1.09744286122228,-7.7235925660853,"Beta"
-6.81763995108698,11.401673509049,"Duct"
-1.93602371630763,2.58413930075125,"PP"
-0.00411647973154705,-5.24794177873179,"Beta"
-1.79247427401637,-8.89231757981821,"Beta"
2.60174738945867,4.83079881803945,"Alpha"
4.37844550194646,3.67200107710318,"Alpha"
-10.8629599851141,-0.633968518805944,"Activated_PSC"
-10.5804578107366,-4.44158296449228,"Activated_PSC"
4.40106713356878,1.39809520380453,"Alpha"
7.30618035378362,2.65069480078176,"Alpha"
6.53052699150945,2.62198586599783,"Alpha"
1.08776545109655,-9.87822227342173,"Beta"
5.97556435646917,2.14825029509024,"Alpha"
5.62393891396428,1.43159194128469,"Alpha"
4.79490458550359,1.4715042843099,"Alpha"
-11.4990111630926,0.942111207413234,"Activated_PSC"
1.25161039414312,-8.07706909043833,"Beta"
1.43330657067205,-7.36588077409311,"Beta"
-0.399746064520823,3.39044447081045,"PP"
-8.05532658515071,9.5931274427648,"Duct"
0.0463081556787618,-4.93069105012461,"Beta"
5.82819878640081,0.692814601826228,"Alpha"
5.29809128823186,-1.04631464345499,"Beta"
2.91160761895086,-5.15486554963633,"Beta"
-4.73714554724787,11.531330300736,"Duct"
-13.202040795661,1.70335276262716,"Activated_PSC"
-0.403050516224848,2.8179523481603,"PP"
-12.5269976895819,1.35180397169546,"Activated_PSC"
5.19580542626287,1.4830644859548,"Alpha"
3.56733643593694,3.92909712927298,"Alpha"
-11.7007800382147,-2.25551562173411,"Activated_PSC"
5.16132819237615,7.01545114653067,"Alpha"
-0.784825195051181,-9.44050483567759,"Beta"
-0.610760439611422,-7.88152866227671,"Beta"
-10.6765881818304,-3.37580900056406,"Proliferating_PSC"
-5.1117197316656,12.1634342207189,"Duct"
-1.03140274105166,2.48904533522085,"PP"
-1.49795097527598,2.15933377878622,"PP"
-7.63771021781062,-0.604004369807683,"Quiescent_PSC"
6.43235385002996,3.71845884458975,"Alpha"
5.53147065224553,2.75606246130423,"Alpha"
-13.4512912076483,-0.870911882949315,"Activated_PSC"
5.32919489922429,2.02084131376699,"Alpha"
0.961603518151296,3.69097132818655,"Alpha"
-1.22639143881892,-6.36094026429697,"Beta"
4.88726937355901,-0.871765540671788,"Alpha"
-0.322103176690089,1.48373086588339,"PP"
6.82774626793767,2.38627154962973,"Alpha"
0.495290394448293,-9.01100520951792,"Beta"
-1.56197488722895,2.61147709028677,"PP"
4.95653569283391,3.67257852690176,"Alpha"
3.82555996956731,4.45853204863027,"Alpha"
2.95366441788579,-5.42102985246225,"Beta"
0.198852415703786,2.74718399183706,"PP"
-9.63472092566584,-3.16606716973826,"Activated_PSC"
-1.31388563332652,-0.403142736983739,"Delta"
2.9924701410761,-8.18726329667612,"Beta"
0.912439342164052,-8.95320014817759,"Beta"
2.20125138344671,-7.79581432206675,"Beta"
5.09873902382757,4.20577926771597,"Alpha"
0.447477336548818,-8.29759769303843,"Beta"
2.83893787445928,5.32344694273428,"Alpha"
5.57920443596746,6.40652437345938,"Alpha"
-0.662273660726296,-8.99244766099497,"Beta"
-10.8261433881292,-3.08553294999643,"Activated_PSC"
3.86413704934026,1.77635307447866,"Alpha"
-3.24856484351252,12.4324256910558,"Duct"
-2.64754701075648,12.0512372984167,"Duct"
2.33481251778508,-7.75415687425181,"Beta"
6.31556212487127,2.50221820013479,"Alpha"
0.605224009179128,-9.30720596177622,"Beta"
0.942921991967214,-8.61950664384409,"Beta"
-6.44387162146662,10.312878800797,"Duct"
0.196211751126302,-7.19651870591684,"Beta"
-1.32046151576136,3.16507311003164,"PP"
-7.84101117072199,10.3841297163244,"Duct"
3.84396588387395,1.16875798838095,"Alpha"
4.78281676354314,3.70400161879019,"Alpha"
5.28953873696233,3.97382445471243,"Alpha"
2.65540730538274,-6.01003770692392,"Beta"
-10.8172122281561,2.15556259291128,"Activated_PSC"
0.254250224255575,-7.73572521073862,"Beta"
8.38679205956365,4.95546503202871,"Alpha"
4.8579658228388,5.00380773680166,"Alpha"
4.5881675440302,0.778136624264277,"Alpha"
6.3327907282343,6.71876783506826,"Alpha"
4.93869483055974,3.21695895330862,"Alpha"
-6.90226805625056,10.1948663725133,"Duct"
6.00032078804876,-0.740070746970616,"Alpha"
7.42222773613836,4.00869627134756,"Alpha"
7.39546382012273,4.89167232649282,"Alpha"
-3.01644409117793,12.3002101911779,"Duct"
-1.57153755841349,-1.13152508599802,"Delta"
0.467346068047536,-8.96118526322886,"Beta"
7.62242877068426,5.47600765364126,"Alpha"
-12.9643174451361,-0.226716624331914,"Activated_PSC"
-12.2281018537054,1.31772656576589,"Activated_PSC"
4.35565030159856,2.65500993864492,"Alpha"
4.12203633370305,3.39471550123648,"Alpha"
3.54339539589788,-7.40669040544077,"Beta"
2.49431383194829,-8.90202789170786,"Beta"
6.3901342112055,6.58742971556143,"Alpha"
0.443602080964101,-8.66427593095347,"Beta"
1.91587650360967,-8.56674461228891,"Beta"
-5.36663973746394,10.7405397428747,"Duct"
0.0781321484079488,-1.48276870114847,"Delta"
7.64561926903631,3.95208997862295,"Alpha"
3.08425247254278,-5.18440608842417,"Beta"
5.51743399681951,1.0478016866918,"Alpha"
0.416902180336965,2.67024250166372,"Alpha"
-0.869285379029261,2.09214074747518,"PP"
-1.49456042466258,-6.70833139283701,"Beta"
2.52601110520269,5.11158247129873,"Alpha"
2.14209901871587,-8.87905387742563,"Beta"
5.89275633873845,4.39356918470816,"Alpha"
-5.27615654883479,11.5108348860021,"Duct"
-2.99536717352961,10.8467876447912,"Duct"
1.39460885109807,-7.74192981584116,"Beta"
3.56930911126043,-6.91215829713389,"Beta"
3.33853566231633,3.74527688162283,"Alpha"
-1.21956700501536,-9.23447875840708,"Beta"
4.14697682442571,4.9279605879064,"Alpha"
-2.54441202101802,-7.49569206101938,"Beta"
2.73334419312383,-5.75987510545298,"Beta"
1.34719478669072,-9.35477523667856,"Beta"
1.60971343102361,-5.64480333192392,"Beta"
0.270420904778493,-6.79978971345469,"Beta"
4.29945599617864,3.74155731337027,"Alpha"
5.10210883202459,5.61544962065176,"Alpha"
-10.4628239911566,-3.93892316682383,"Activated_PSC"
3.35019957604314,-6.90316657884165,"Beta"
7.69609248223211,4.38372082846121,"Alpha"
-0.218832914210307,-8.28577785356089,"Beta"
-11.0005961698065,-2.95501665933176,"Activated_PSC"
0.93003391804601,-9.42922954423472,"Beta"
-12.3254882138739,2.12283356325582,"Activated_PSC"
5.24114262642766,0.487257739769973,"Alpha"
1.14054548325445,-9.48939399583384,"Beta"
-1.72576451716517,3.7929348482366,"PP"
-1.83779180464839,10.6233217252965,"TFF1_Duct"
1.99080884041692,-6.95030765397593,"Beta"
